[   10032ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  196221ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  251852ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  252656ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  313391ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  314097ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  315081ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  315781ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  316671ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  317376ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  360424ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  361203ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  361973ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  364058ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  364864ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  365584ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  384276ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[  384962ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2418155ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2470528ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2473075ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2474192ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2475181ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2476324ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
[ 2477142ms] [LOG] JQMIGRATE: Migrate is installed, version 3.4.1 @ http://localhost:8883/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1:1
